id,name,summary,provider,language,url,thumbnail,tags
11,Activitatea de advocacy în contexte umanitare ,"Promovarea este procesul deliberat de influențare a celor care iau decizii privind dezvoltarea, schimbarea și implementarea politicilor. Acest curs explorează cum să comunici cu mass-media în caz de urgență pentru a-ți susține/promova organizația și principiile directoare.","FIELD Programme, Save the Children, World Vision",ron,https://kayaconnect.org/course/info.php?id=4691,https://kayaconnect.org/pluginfile.php/813661/course/overviewfiles/FIELDCommsImage500330-01.png,"communication-and-language-skills, communications, fundraising-and-donor-management, principles-practices-and-standards, programmatic-support"
12,Adapting Child Protection Programming in Infectious Disease Outbreaks: Guidance for Case Management Safety and Continuity ,This eLearning course is designed to equip learners with foundational knowledge and skills for adapting critical case management interventions for children during infectious disease outbreaks in humanitarian settings to ensure these services continue operating safely.  ,READY initiative,en,https://kayaconnect.org/course/info.php?id=5613,https://kayaconnect.org/pluginfile.php/1209199/course/overviewfiles/CP1_thumbnail_hi res.png,"coordination, coronavirus, health, humanitarian-essentials, programmatic-support, programme-design, project-management, protection, psychosocial-and-psychological-first-aid, technical-sectors"
13,Adaptive Management,"Adaptive management is an approach to humanitarian action which accepts that no amount of information during project design will ever be good enough, so we must rely on continuous analysis and adaptation. This module explores the purpose and practice of using MEAL data in supporting adaptive management.","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=2809,https://kayaconnect.org/pluginfile.php/324534/course/overviewfiles/MEALImage.png,"accountability, humanitarian-essentials, monitoring-and-evaluation, programmatic-support"
14,Adolescent Girl Service Provider Training: Group Settings,"The group training has been designed for GBV, CP and Health practitioners who provide services to adolescent girls. It consists of four modules and can be completed in a group setting. ",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=3969,https://kayaconnect.org/pluginfile.php/601803/course/overviewfiles/mentors (1).jpg,"humanitarian-essentials, principles-practices-and-standards, programmatic-support, programme-design, psychosocial-and-psychological-first-aid, technical-sectors"
15,Adolescent Girl Service Provider Training: Self-Guided,"The training has been designed for GBV, CP and Health practitioners who provide services to adolescent girls. It consists of four modules and can be completed at your own pace. ",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=3958,https://kayaconnect.org/pluginfile.php/600871/course/overviewfiles/mentors (1).jpg,"humanitarian-essentials, principles-practices-and-standards, programmatic-support, programme-design, psychosocial-and-psychological-first-aid, technical-sectors"
16,Adolescents in Humanitarian Contexts,"This interactive course is designed to provide guidance for practitioners  on best practices and approaches when working with adolescents in humanitarian contexts, gaining a better understanding of who are adolescents and why is important to work with them. ",Save the Children,en,https://kayaconnect.org/course/info.php?id=1337,https://kayaconnect.org/pluginfile.php/122895/course/overviewfiles/interface_image.png,"accountability, diversity-and-equality, humanitarian-essentials, programmatic-support, programme-design"
17,Advocacy in Humanitarian Settings,"Advocacy is the deliberate process of influencing those who make decisions about developing, changing and implementing policies. This course explores how to communicate with the media in an emergency to advocate/promote your organisation and their guiding principles.","FIELD Programme, Save the Children, World Vision",en,https://kayaconnect.org/course/info.php?id=3032,https://kayaconnect.org/pluginfile.php/378969/course/overviewfiles/FIELDCommsImage500330-01.png,"communication-and-language-skills, communications, fundraising-and-donor-management, principles-practices-and-standards, programmatic-support"
18,Advocating for the Centrality of Children and their Protection in Infectious Disease Outbreaks   ,This eLearning course is designed to equip learners with foundational knowledge and skills to advocate for the centrality of children’s protection during infectious disease outbreaks in humanitarian settings.  ,READY initiative,en,https://kayaconnect.org/course/info.php?id=5812,https://kayaconnect.org/pluginfile.php/1218502/course/overviewfiles/CP2_thumbnail_hi res.png,"coordination, coronavirus, health, humanitarian-essentials, programmatic-support, programme-design, protection, psychosocial-and-psychological-first-aid, technical-sectors"
19,Afetten Etkilenmiş Ortamlardaki Ergenlerin Ruh Sağlığı ve Psikososyal İyiliği,"Bu kurs, afet sonrası ortamlarda ergenlerin ruh sağlığını ve psikososyal refahını desteklemeyi amaçlamaktadır. HIAS ile geliştirilen Çatışmadan Etkilenen Ergenlerin Ruh Sağlığı ve Psikososyal Refahı kursunun bir uyarlamasıdır.","Humanitarian Leadership Academy, The MHPSS Collaborative",tur,https://kayaconnect.org/course/info.php?id=11292,https://kayaconnect.org/pluginfile.php/1428878/course/overviewfiles/MHPSS_CourseThumbnail-01.png,"disaster-management-and-risk-reduction, programme-design, protection, psychosocial-and-psychological-first-aid"
20,Age and Disability Inclusion in Humanitarian Action Course ,"This self-guided course will build your understanding on the wellbeing of old people and people with disabilities before, within and after any humanitarian intervention.",HelpAge International,en,https://kayaconnect.org/course/info.php?id=11732,https://kayaconnect.org/pluginfile.php/1497785/course/overviewfiles/HelpAge Kaya image.png,"disaster-management-and-risk-reduction, humanitarian-essentials, programmatic-support, programme-design, protection, psychosocial-and-psychological-first-aid, technical-sectors"
21,Age Inclusive Humanitarian Interventions (AIHI) ,This course provides an introduction on mainstreaming Older People in the humanitarian interventions.,HelpAge International,en,https://kayaconnect.org/course/info.php?id=4781,https://kayaconnect.org/pluginfile.php/859938/course/overviewfiles/Summary.png,"diversity-and-equality, humanitarian-essentials, programmatic-support, protection, technical-sectors"
22,Agile Project Management – An Introduction,"Learn about the basics of Agile Project Management, and how it can help you to deliver fit for purpose projects in a fast paced and changing environment.
",Learning Pool,en,https://kayaconnect.org/course/info.php?id=3064,https://kayaconnect.org/pluginfile.php/384304/course/overviewfiles/Agile 1.png,"management-essentials, project-management"
23,Agile Project Management – The Scrum Method,"Learn about the Scrum method, and how to use it to successfully apply an Agile methodology to your projects.
",Learning Pool,en,https://kayaconnect.org/course/info.php?id=3065,https://kayaconnect.org/pluginfile.php/384319/course/overviewfiles/Agile 2 Scrum.jpg,"management-essentials, project-management"
24,AI Basics,"This pathway covers AI basics, machine learning, deep learning, and natural language processing, focusing on automation, IoT, robotics, and generative AI. It highlights their impact on creativity and productivity with examples like Microsoft Copilot.",NetHope Trainings,en,https://kayaconnect.org/course/info.php?id=11805,https://kayaconnect.org/pluginfile.php/1506827/course/overviewfiles/bigstock-Controller-Reading-Regulations-460815477.jpg,"disaster-management-and-risk-reduction, technical-sectors"
25,Alimentation du nourrisson et du jeune enfant dans les situations d'urgence lors d'épidémies de maladies infectieuses,"Ce cours eLearning est conçu pour fournir aux apprenants les connaissances de base sur la façon de protéger, promouvoir et soutenir les pratiques recommandées d'alimentation du nourrisson et du jeune enfant (ANJE-U) dans les contextes humanitaires lors de la préparation et de la réponse aux épidémies.","Infant Feeding in Emergencies, READY initiative",fr,https://kayaconnect.org/course/info.php?id=9540,https://kayaconnect.org/pluginfile.php/1359746/course/overviewfiles/01_03_120_v2-02.png,"coronavirus, health, health-and-safety, humanitarian-essentials, technical-sectors"
26,An Introduction to Crisis Management,The aim of this module is to provide learners with an introduction to providing you with the essential tools and knowledge to navigate and manage crises in a thoughtful and proactive manner.,Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=9376,https://kayaconnect.org/pluginfile.php/1355630/course/overviewfiles/IntroductionToCrisisManagement.png,"humanitarian-essentials, principles-practices-and-standards, programme-design"
27,An Introduction to Proposal and Report Writing,This course aims to give you a foundational understanding of the proposal and report writing processes in humanitarian and development contexts. ,Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=3024,https://kayaconnect.org/pluginfile.php/375425/course/overviewfiles/How_To_Write_A_Proposal_550x330 2.png,"humanitarian-essentials, principles-practices-and-standards, programme-design, project-management"
28,Applications of Generative AI,"This pathway helps users improve AI interaction through prompt engineering, focusing on platforms like Microsoft Copilot. It covers how search engines work, the importance of clear prompts, and token-based processing. It concludes with best practices for effective prompting, including specificity, style, and customization for better AI responses.",NetHope Trainings,en,https://kayaconnect.org/course/info.php?id=11808,https://kayaconnect.org/pluginfile.php/1507317/course/overviewfiles/bigstock-Vector-Illustration-Robot-Hum-354464363.jpg,"disaster-management-and-risk-reduction, technical-sectors"
29,Applications of Generative AI with Copilot,"This pathway shows how Microsoft Copilot boosts productivity in job searching, browsing, and professional tasks, with features like resume optimization, multilingual support, and workflow tools in Edge. Learners will explore how to use Copilot for career development, project management, and creativity.",NetHope Trainings,en,https://kayaconnect.org/course/info.php?id=11809,https://kayaconnect.org/pluginfile.php/1507695/course/overviewfiles/bigstock-Vector-Illustration-Robot-Hum-354666374.jpg,"disaster-management-and-risk-reduction, technical-sectors"
30,Applying Humanitarian Principles in Context,A recorded webinar outlining 4 different dilemmas linked to the 4 humanitarian principles. Every dilemma is presented in the context of real humanitarian intervention.,"ITCILO, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=929,https://kayaconnect.org/pluginfile.php/70784/course/overviewfiles/How to Apply Humanitarian Principles in Context.png,"humanitarian-essentials, principles-practices-and-standards"
31,A Practical Guide to Market Analysis,An online self-study course to develop a good conceptual understanding of the steps involved in market assessments and basic skills in how to apply this understanding in real-life settings.,"CALP Network (CALP), International Rescue Committee (IRC)",en,https://kayaconnect.org/course/info.php?id=514,https://kayaconnect.org/pluginfile.php/17790/course/overviewfiles/Capture.PNG,"budgets-and-finance, cash, humanitarian-essentials, logistics, management-essentials, monitoring-and-evaluation, programmatic-support, programme-design, technical-sectors"
32,Asesoramiento para la ALNP a distancia: Apoyar a los/as cuidadores durante brotes infecciosos y otros escenarios ,"Se trata de un curso de aprendizaje electrónico para orientadores sobre la alimentación del lactante y del niño pequeño (ALNP), diseñado para dotar a los alumnos de los conocimientos y habilidades necesarios para orientar a distancia a los clientes de modo que entiendan, adopten y mantengan unos comportamientos y prácticas óptimos de ALNP.",READY initiative,es,https://kayaconnect.org/course/info.php?id=4514,https://kayaconnect.org/pluginfile.php/757924/course/overviewfiles/SplashScreen.png,"coaching-and-mentoring-others, coronavirus, food-security-and-nutrition, health, technical-sectors"
33,Assess yourself: CALP Operational Competences for CVA,Assess yourself against CALP's competencies for Cash and Voucher Assistance,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=605,https://kayaconnect.org/pluginfile.php/30743/course/overviewfiles/Competence 2.jpg,"accountability, cash, communications, coordination, disaster-management-and-risk-reduction, education, food-security-and-nutrition, health, hr-recruitment-and-deployment, humanitarian-essentials, information-management-and-technology, leadership-skills, logistics, management-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, project-management, protection, quality-and-governance, safety-and-security, security, shelter, technical-sectors, water-sanitation-and-hygiene-(wash)"
34,Assess yourself: CALP Strategic Competences for CVA,Assess yourself against CALP's competencies for Cash and Voucher Assistance,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=604,https://kayaconnect.org/pluginfile.php/30734/course/overviewfiles/Competence 2.jpg,"accountability, cash, communications, coordination, disaster-management-and-risk-reduction, education, food-security-and-nutrition, health, humanitarian-essentials, information-management-and-technology, leadership-skills, management-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, project-management, protection, quality-and-governance, safety-and-security, security, shelter, technical-sectors, water-sanitation-and-hygiene-(wash)"
35,Assess yourself: CALP Technical Competences for CVA,Assess yourself against CALP's Competences for Cash and Voucher Assistance,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=600,https://kayaconnect.org/pluginfile.php/30444/course/overviewfiles/Competence 2.jpg,"accountability, cash, communications, coordination, disaster-management-and-risk-reduction, education, food-security-and-nutrition, health, humanitarian-essentials, information-management-and-technology, leadership-skills, management-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, project-management, protection, quality-and-governance, safety-and-security, security, shelter, technical-sectors, water-sanitation-and-hygiene-(wash)"
36,Associer les transferts monétaires humanitaires et la protection sociale,Un cours autogéré en ligne – Associer les transferts monétaires humanitaires et la protection sociale.,CALP Network (CALP),fr,https://kayaconnect.org/course/info.php?id=4906,"https://kayaconnect.org/pluginfile.php/969556/course/overviewfiles/Christine Coudour, Togo, 2022, WFP - Small Kaya course page - v2.jpg","cash, coordination, humanitarian-essentials, information-management-and-technology, leadership-skills, management-essentials, monitoring-and-evaluation, programmatic-support, programme-design, project-management, technical-sectors"
37,A step-by-step journey into supply chain planning,This 3 hour course will enable you to explore and understand the fundamental concepts of supply chain planning and the different steps involved in this important process. ,"Save the Children, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=6570,https://kayaconnect.org/pluginfile.php/1251779/course/overviewfiles/Planning Course Image FINAL (1).jpg,"logistics, programmatic-support"
38,Barreras para y Objetivos de la EeE (1.2),Este curso examina las barreras comunes a la educación en situaciones de emergencia y cómo las respuestas de EeE pretenden superarlas.,"Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",es,https://kayaconnect.org/course/info.php?id=3989,https://kayaconnect.org/pluginfile.php/606164/course/overviewfiles/Intro .JPG,"coronavirus, education, technical-sectors"
39,Barrières à et objectifs de l'ESU (1.2),"Ce cours examine les obstacles communs de l’accès à l'éducation en situation d'urgence, comment ils peuvent être analysés et les différentes manières de les surmonter.","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",fr,https://kayaconnect.org/course/info.php?id=3101,https://kayaconnect.org/pluginfile.php/398342/course/overviewfiles/Intro .JPG,"coronavirus, education, technical-sectors"
40,Barriers to and Aims of EiE (1.2),"This course looks at the common barriers to education in emergencies, how these can be analyzed and different ways of considering access in order to overcome these. ","Humanity & Inclusion, IKEA Foundation, INEE (Inter-agency Network for Education in Emergencies), LEGO Foundation, People in Need (PIN), Plan International, Right To Play, Save the Children, Humanitarian Leadership Academy, The MHPSS Collaborative, Unicef, University of Geneva, War Child, World Vision",en,https://kayaconnect.org/course/info.php?id=2697,https://kayaconnect.org/pluginfile.php/297428/course/overviewfiles/Intro .JPG,"coronavirus, education, technical-sectors"
41,Basic Principles of Disability Inclusion in Humanitarian Response,Increase your understanding of disability and the needs of people with disabilities in humanitarian contexts. On-line learning.,Age and Disability Capacity Programme (ADCAP),en,https://kayaconnect.org/course/info.php?id=886,https://kayaconnect.org/pluginfile.php/66035/course/overviewfiles/Capture.PNG,"diversity-and-equality, humanitarian-essentials, programmatic-support, protection, safety-and-security, technical-sectors"
42,Becoming an Effective Leader,"Learn about the different styles and theories of leadership, and what can be achieved with each.",Learning Pool,en,https://kayaconnect.org/course/info.php?id=329,https://kayaconnect.org/pluginfile.php/4617/course/overviewfiles/becoming-an-effective-leader.png,"coaching-and-mentoring-others, communication-and-language-skills, leadership-skills, management-essentials, staff-welfare"
43,Being Accountable to Affected People,"This course will introduce you to key concepts in accountability, and help you ensure you always act in a way that is accountable to the people affected by your humanitarian response. ",Humanitarian Leadership Academy,en,https://kayaconnect.org/course/info.php?id=611,https://kayaconnect.org/pluginfile.php/33008/course/overviewfiles/AAP cover image.jpg,"accountability, communications, humanitarian-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, protection, quality-and-governance, technical-sectors"
44,Being Accountable to Affected People- Contextualized for the MENA region,"Being Accountable to Affected People will introduce you to key concepts in accountability, and help you ensure you always act in a way that is accountable to the people affected by your humanitarian response. ","Global Health Institute at the American University of Beirut, Humanitarian Leadership Academy",en,https://kayaconnect.org/course/info.php?id=999,https://kayaconnect.org/pluginfile.php/77784/course/overviewfiles/AAP course pic.png,"humanitarian-essentials, management-essentials"
45,Bezpieczeństwo i ochrona w ciągu pierwszych 1-2 tygodni i ciągłe doskonalenie,"W tym module zapoznamy się ze środkami bezpieczeństwa stosowanymi w pierwszych 1-2 tygodniach trwania projektu. Obejmują one np. plany bezpieczeństwa, standardowe procedury operacyjne i plany awaryjne. Omówimy również rozwiązania umożliwiające monitorowanie sytuacji i poszukiwanie ciągłych ulepszeń w zakresie bezpieczeństwa, gdy działania prowadzon","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",pol,https://kayaconnect.org/course/info.php?id=4482,https://kayaconnect.org/pluginfile.php/750348/course/overviewfiles/SS_SummaryImage.png,"principles-practices-and-standards, safety-and-security, security"
46,BLAST DRRM: Community Contingency Planning,This is a self-guided and fully online module.,CODE-NGO,en,https://kayaconnect.org/course/info.php?id=1156,https://kayaconnect.org/pluginfile.php/98957/course/overviewfiles/Blast v3 with title.png,"communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, principles-practices-and-standards, programmatic-support, quality-and-governance, technical-sectors"
47,BLAST DRRM: Community Early Warning Systems,This is a self-guided and fully online module.,CODE-NGO,en,https://kayaconnect.org/course/info.php?id=1155,https://kayaconnect.org/pluginfile.php/98927/course/overviewfiles/Blast v3 with title.png,"communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, principles-practices-and-standards, programmatic-support, quality-and-governance, technical-sectors"
48,BLAST DRRM: Introduction to Community Based Disaster Risk Reduction Management,This is a self-guided and fully online module.,CODE-NGO,en,https://kayaconnect.org/course/info.php?id=1153,https://kayaconnect.org/pluginfile.php/98865/course/overviewfiles/Blast v3 with title.png,"communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, principles-practices-and-standards, programmatic-support, quality-and-governance, technical-sectors"
49,BLAST DRRM: Linking Disaster Risk Reduction Management and Climate Change Adaptation,This is a self-guided and fully online module.,CODE-NGO,en,https://kayaconnect.org/course/info.php?id=1152,https://kayaconnect.org/pluginfile.php/98836/course/overviewfiles/Blast v3 with title.png,"communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, principles-practices-and-standards, programmatic-support, quality-and-governance, technical-sectors"
50,BLAST DRRM: Mainstreaming Disaster Risk Reduction Management in the Community,This is a self-guided and fully online module.,CODE-NGO,en,https://kayaconnect.org/course/info.php?id=1157,https://kayaconnect.org/pluginfile.php/98986/course/overviewfiles/Blast v3 with title.png,"communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, principles-practices-and-standards, programmatic-support, quality-and-governance, technical-sectors"
51,BLAST DRRM: Participatory Risk Assessment and Hazard Capacity Vulnerability Assessment (HCVA),This is a self-guided and fully online module.,CODE-NGO,en,https://kayaconnect.org/course/info.php?id=1154,https://kayaconnect.org/pluginfile.php/98894/course/overviewfiles/Blast v3 with title.png,"communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, principles-practices-and-standards, programmatic-support, quality-and-governance, technical-sectors"
52,Bunăstare și reziliență pentru lucrătorii din prima linie și manageri ,"Acest curs te va ajuta să înțelegi impactul pe care îl are stresul asupra vieții tale și cum poți să îți consolidezi reziliența personală și organizațională. Până la finalul cursului, vei elabora un plan de acțiune personal și vei cunoaște mai bine diversele tehnici cu privire la bunăstare și reziliență pe care să le aplici în situații stresante. ","Save the Children, Humanitarian Leadership Academy",ron,https://kayaconnect.org/course/info.php?id=4640,https://kayaconnect.org/pluginfile.php/798553/course/overviewfiles/wellness and resilience.png,"psychosocial-and-psychological-first-aid, technical-sectors"
53,CALP En ligne : Compétences de base en transferts monétaires pour le personnel programme,"CALP En ligne : Compétences de base en transferts monétaires pour le personnel programme, offert à distance par l'apprentissage en ligne et la facilitation à distance.",CALP Network (CALP),fr,https://kayaconnect.org/course/info.php?id=3232,https://kayaconnect.org/pluginfile.php/424764/course/overviewfiles/CO Homepage.png,"cash, coordination, monitoring-and-evaluation, principles-practices-and-standards, programme-design"
54,CALP en línea: PTM: Habilidades fundamentales para el personal de programas,Este es el curso virtual de CaLP “PTM: Habilidades fundamentales para el personal de programas” el cual se imparte a distancia mediante el aprendizaje en línea y la facilitación a distancia.  ,CALP Network (CALP),es,https://kayaconnect.org/course/info.php?id=3738,https://kayaconnect.org/pluginfile.php/540192/course/overviewfiles/CO Homepage.png,"cash, coordination, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design"
55,CALP Facilitator's Space - Download and Discuss,This community is for trainers and facilitators to access a wide-range of CALP face to face training materials.,CALP Network (CALP),"ar, en, es, fr",https://kayaconnect.org/course/info.php?id=603,https://kayaconnect.org/pluginfile.php/30722/course/overviewfiles/Training.JPG,"accountability, budgets-and-finance, cash, coaching-and-mentoring-others, communications, coordination, disaster-management-and-risk-reduction, humanitarian-essentials, information-management-and-technology, leadership-skills, logistics, management-essentials, monitoring-and-evaluation, programmatic-support, programme-design, project-management, quality-and-governance, safety-and-security, security, technical-sectors, training-design-and-facilitation"
56,CALP Online: Core CVA Skills for Programme Staff,"This is the CALP Online: Core CVA Skills for Programme Staff course, delivered remotely via online learning and remote facilitation.",CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=2546,https://kayaconnect.org/pluginfile.php/271005/course/overviewfiles/CO Homepage.png,"cash, coordination, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design"
57,Capacitación en Concienciación sobre la Responsabilidad de los Datos - Essentials,"El propósito del curso es aumentar la conciencia y la comprensión entre los trabajadores humanitarios sobre el manejo responsable de datos en una capacitación breve y breve. La responsabilidad de los datos es la gestión segura, ética y eficaz de los datos personales y no personales para la respuesta operativa.",Norwegian Refugee Council (NRC),es,https://kayaconnect.org/course/info.php?id=10763,https://kayaconnect.org/pluginfile.php/1394035/course/overviewfiles/Course thumbnail 1 NRC.png,"accountability, information-management-and-technology, principles-practices-and-standards, quality-and-governance, security"
58,"Caring for Others, Caring for Ourselves: Trauma-Informed Care and Mental Health Basics for Direct Service Teams","This course provides direct service teams with essential knowledge on trauma-informed care, mental health basics, and self-care strategies to enhance their well-being and effectiveness in supporting clients.",International Rescue Committee (IRC),en,https://kayaconnect.org/course/info.php?id=11710,https://kayaconnect.org/pluginfile.php/1493810/course/overviewfiles/NYC Employees_500x330_course image.png,"health, health-and-safety, principles-practices-and-standards, psychosocial-and-psychological-first-aid, staff-welfare"
59,Cash and Voucher Assistance Resources,"This page brings together a range of links, resources and useful tools and guides for cash and voucher assistance",CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=760,https://kayaconnect.org/pluginfile.php/52287/course/overviewfiles/Cash.jpg,"accountability, cash, communication-and-language-skills, coordination, disaster-management-and-risk-reduction, food-security-and-nutrition, health, humanitarian-essentials, information-management-and-technology, leadership-skills, logistics, management-essentials, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, project-management, protection, quality-and-governance, shelter, technical-sectors, water-sanitation-and-hygiene-(wash)"
60,Cash and Voucher Assistance - The Fundamentals,This course will introduce you to the fundamentals of Cash and Voucher Assistance (CVA) and will help you to begin understanding it. ,CALP Network (CALP),en,https://kayaconnect.org/course/info.php?id=496,https://kayaconnect.org/pluginfile.php/15903/course/overviewfiles/Fundamentals 2023.png,"cash, humanitarian-essentials, leadership-skills, management-essentials, principles-practices-and-standards, programmatic-support, technical-sectors"
